,year,hires,terminations,net_change,net_change_percent
0,2000,220,26,194,88.18
1,2001,1122,197,925,82.44
2,2002,1067,165,902,84.54
3,2003,1142,194,948,83.01
4,2004,1135,199,936,82.47
5,2005,1097,172,925,84.32
6,2006,1118,176,942,84.26
7,2007,1090,144,946,86.79
8,2008,1108,141,967,87.27
9,2009,1140,150,990,86.84
10,2010,1099,124,975,88.72
11,2011,1101,110,991,90.01
12,2012,1103,105,998,90.48
13,2013,1105,92,1013,91.67
14,2014,1053,85,968,91.93
15,2015,1059,79,980,92.54
16,2016,1122,68,1054,93.94
17,2017,1091,54,1037,95.05
18,2018,1147,48,1099,95.82
19,2019,1083,51,1032,95.29
20,2020,1012,26,986,97.43
